Index,Factor,Shape Factor,nInfluencePoints
1,17.1,0.120915,14
2,12.9,0.0912168,18
3,13,0.0919239,17
4,13,0.0919239,17
5,13,0.0919239,17
6,13,0.0919239,17
7,13,0.0919239,17
8,13,0.0919239,17
9,13,0.0919239,17
10,13,0.0919239,17
11,13,0.0919239,17
12,13,0.0919239,17
13,13,0.0919239,17
14,13,0.0919239,17
15,13,0.0919239,17
16,13,0.0919239,17
17,13,0.0919239,17
18,13,0.0919239,17
19,13,0.0919239,17
20,13,0.0919239,17
21,13,0.0919239,17
22,13,0.0919239,17
23,13,0.0919239,17
24,12.9,0.0912168,18
25,17.1,0.120915,14
26,17.1,0.120915,14
27,12.9,0.0912168,18
28,13,0.0919239,17
29,13,0.0919239,17
30,13,0.0919239,17
31,13,0.0919239,17
32,13,0.0919239,17
33,13,0.0919239,17
34,13,0.0919239,17
35,13,0.0919239,17
36,13,0.0919239,17
37,13,0.0919239,17
38,13,0.0919239,17
39,13,0.0919239,17
40,13,0.0919239,17
41,13,0.0919239,17
42,13,0.0919239,17
43,13,0.0919239,17
44,17.6,0.124451,14
45,35.5,0.251023,9
46,51.1,0.361332,8
47,69.4,0.490732,8
48,77.4,0.547301,7
49,77.4,0.547301,7
50,77.4,0.547301,7
51,77.4,0.547301,7
52,77.4,0.547301,7
53,77.4,0.547301,7
54,77.4,0.547301,7
55,77.4,0.547301,7
56,77.4,0.547301,7
57,77.4,0.547301,7
58,77.4,0.547301,7
59,77.4,0.547301,7
60,77.4,0.547301,7
61,77.4,0.547301,7
62,77.4,0.547301,7
63,77.4,0.547301,7
64,77.4,0.547301,7
65,77.4,0.547301,7
66,60.5,0.4278,9
67,28.7,0.20294,11
68,27.2,0.192333,12
69,23.7,0.167584,13
70,23.4,0.165463,11
71,21.3,0.150614,11
72,13.5,0.0954594,16
73,13,0.0919239,17
74,13,0.0919239,17
75,13,0.0919239,17
76,13,0.0919239,17
77,13,0.0919239,17
78,13,0.0919239,17
79,13,0.0919239,17
80,13,0.0919239,17
81,13,0.0919239,17
82,13,0.0919239,17
83,13,0.0919239,17
84,13,0.0919239,17
85,13,0.0919239,17
86,13,0.0919239,17
87,13,0.0919239,17
88,13,0.0919239,17
89,12.9,0.0912168,18
90,17.1,0.120915,14
91,12.5,0.0883883,17
92,9.2,0.0650538,22
93,9.8,0.0692965,21
94,9.8,0.0692965,21
95,9.8,0.0692965,21
96,9.8,0.0692965,21
97,9.8,0.0692965,21
98,9.8,0.0692965,21
99,9.8,0.0692965,21
100,9.8,0.0692965,21
101,9.8,0.0692965,21
102,9.8,0.0692965,21
103,9.8,0.0692965,21
104,9.8,0.0692965,21
105,9.8,0.0692965,21
106,9.8,0.0692965,21
107,9.8,0.0692965,21
108,9.8,0.0692965,21
109,9.8,0.0692965,21
110,9.8,0.0692965,21
111,9.8,0.0692965,21
112,9.8,0.0692965,21
113,9.8,0.0692965,21
114,9.2,0.0650538,22
115,12.5,0.0883883,17
116,12.5,0.0883883,17
117,9.2,0.0650538,22
118,9.8,0.0692965,21
119,9.8,0.0692965,21
120,9.8,0.0692965,21
121,9.8,0.0692965,21
122,9.8,0.0692965,21
123,9.8,0.0692965,21
124,9.8,0.0692965,21
125,9.8,0.0692965,21
126,9.8,0.0692965,21
127,9.8,0.0692965,21
128,9.8,0.0692965,21
129,9.8,0.0692965,21
130,9.8,0.0692965,21
131,9.8,0.0692965,21
132,9.8,0.0692965,21
133,9.9,0.0700036,20
134,12.8,0.0905097,17
135,22.3,0.157685,11
136,34.7,0.245366,10
137,33.2,0.234759,11
138,34.1,0.241123,9
139,34.1,0.241123,9
140,34.1,0.241123,9
141,34.1,0.241123,9
142,34.1,0.241123,9
143,34.1,0.241123,9
144,34.1,0.241123,9
145,34.1,0.241123,9
146,34.1,0.241123,9
147,34.1,0.241123,9
148,34.1,0.241123,9
149,34.1,0.241123,9
150,34.1,0.241123,9
151,34.1,0.241123,9
152,34.1,0.241123,9
153,34.1,0.241123,9
154,34.1,0.241123,9
155,34.1,0.241123,9
156,33.2,0.234759,11
157,22,0.155563,13
158,17.2,0.121622,14
159,16.8,0.118794,16
160,19.9,0.140714,13
161,19.7,0.1393,14
162,11.3,0.0799031,20
163,9.8,0.0692965,21
164,9.8,0.0692965,21
165,9.8,0.0692965,21
166,9.8,0.0692965,21
167,9.8,0.0692965,21
168,9.8,0.0692965,21
169,9.8,0.0692965,21
170,9.8,0.0692965,21
171,9.8,0.0692965,21
172,9.8,0.0692965,21
173,9.8,0.0692965,21
174,9.8,0.0692965,21
175,9.8,0.0692965,21
176,9.8,0.0692965,21
177,9.8,0.0692965,21
178,9.8,0.0692965,21
179,9.2,0.0650538,22
180,12.5,0.0883883,17
181,11.8,0.0834386,19
182,9.6,0.0678823,23
183,9.1,0.0643467,25
184,9.9,0.0700036,24
185,9.6,0.0678823,24
186,9.9,0.0700036,24
187,9.6,0.0678823,24
188,9.9,0.0700036,24
189,9.6,0.0678823,24
190,9.9,0.0700036,24
191,9.6,0.0678823,24
192,9.9,0.0700036,24
193,9.6,0.0678823,24
194,9.9,0.0700036,24
195,9.6,0.0678823,24
196,9.9,0.0700036,24
197,9.6,0.0678823,24
198,9.9,0.0700036,24
199,9.6,0.0678823,24
200,9.9,0.0700036,24
201,9.6,0.0678823,24
202,9.9,0.0700036,24
203,9.6,0.0678823,24
204,9.9,0.0700036,24
205,9.6,0.0678823,24
206,9.9,0.0700036,24
207,9.6,0.0678823,24
208,9.9,0.0700036,24
209,9.6,0.0678823,24
210,9.9,0.0700036,24
211,9.6,0.0678823,24
212,9.9,0.0700036,24
213,9.6,0.0678823,24
214,9.9,0.0700036,24
215,9.6,0.0678823,24
216,9.9,0.0700036,24
217,9.6,0.0678823,24
218,9.9,0.0700036,24
219,9.6,0.0678823,24
220,9.9,0.0700036,24
221,9.6,0.0678823,24
222,9.9,0.0700036,24
223,9.6,0.0678823,24
224,9.9,0.0700036,24
225,9.6,0.0678823,24
226,9.9,0.0700036,24
227,9.1,0.0643467,25
228,9.6,0.0678823,23
229,11.8,0.0834386,19
230,9.6,0.0678823,23
231,9.3,0.0657609,26
232,8,0.0565685,30
233,8.3,0.0586899,27
234,8,0.0565685,29
235,8.3,0.0586899,27
236,8,0.0565685,29
237,8.3,0.0586899,27
238,8,0.0565685,29
239,8.3,0.0586899,27
240,8,0.0565685,29
241,8.3,0.0586899,27
242,8,0.0565685,29
243,8.3,0.0586899,27
244,8,0.0565685,29
245,8.3,0.0586899,27
246,8,0.0565685,29
247,8.3,0.0586899,27
248,8,0.0565685,29
249,8.3,0.0586899,27
250,8,0.0565685,29
251,8.3,0.0586899,27
252,8,0.0565685,29
253,8.3,0.0586899,27
254,8,0.0565685,29
255,8.3,0.0586899,27
256,8,0.0565685,29
257,8.3,0.0586899,27
258,8,0.0565685,29
259,8.3,0.0586899,27
260,8,0.0565685,29
261,8.3,0.0586899,27
262,8,0.0565685,29
263,8.3,0.0586899,27
264,8,0.0565685,29
265,8.3,0.0586899,27
266,8,0.0565685,29
267,8.3,0.0586899,27
268,8,0.0565685,29
269,8.3,0.0586899,27
270,8,0.0565685,29
271,8.3,0.0586899,27
272,8,0.0565685,29
273,8.3,0.0586899,27
274,8,0.0565685,29
275,8.3,0.0586899,27
276,8,0.0565685,30
277,9.3,0.0657609,26
278,9.6,0.0678823,23
279,9.1,0.0643467,25
280,8,0.0565685,30
281,7.2,0.0509117,31
282,7.2,0.0509117,30
283,7.2,0.0509117,30
284,7.2,0.0509117,30
285,7.2,0.0509117,30
286,7.2,0.0509117,30
287,7.2,0.0509117,30
288,7.2,0.0509117,30
289,7.2,0.0509117,30
290,7.2,0.0509117,30
291,7.2,0.0509117,30
292,7.2,0.0509117,30
293,7.2,0.0509117,30
294,7.2,0.0509117,30
295,7.2,0.0509117,30
296,7.2,0.0509117,30
297,7.2,0.0509117,30
298,7.2,0.0509117,30
299,7.2,0.0509117,30
300,7.2,0.0509117,30
301,7.2,0.0509117,30
302,7.2,0.0509117,30
303,7.2,0.0509117,30
304,7.2,0.0509117,30
305,7.2,0.0509117,30
306,7.2,0.0509117,30
307,7.2,0.0509117,30
308,7.2,0.0509117,30
309,7.2,0.0509117,30
310,7.2,0.0509117,30
311,7.2,0.0509117,30
312,7.2,0.0509117,30
313,7.2,0.0509117,30
314,7.2,0.0509117,30
315,7.2,0.0509117,30
316,7.2,0.0509117,30
317,7.2,0.0509117,30
318,7.2,0.0509117,30
319,7.2,0.0509117,30
320,7.2,0.0509117,30
321,7.2,0.0509117,30
322,7.2,0.0509117,30
323,7.2,0.0509117,30
324,7.2,0.0509117,30
325,7.2,0.0509117,31
326,8,0.0565685,30
327,9.1,0.0643467,25
328,9.9,0.0700036,24
329,8.3,0.0586899,27
330,7.2,0.0509117,30
331,7.2,0.0509117,29
332,7.2,0.0509117,29
333,7.2,0.0509117,29
334,7.2,0.0509117,29
335,7.2,0.0509117,29
336,7.2,0.0509117,29
337,7.2,0.0509117,29
338,7.2,0.0509117,29
339,7.2,0.0509117,29
340,7.2,0.0509117,29
341,7.2,0.0509117,29
342,7.2,0.0509117,29
343,7.2,0.0509117,29
344,7.2,0.0509117,29
345,7.2,0.0509117,29
346,7.2,0.0509117,29
347,7.2,0.0509117,29
348,7.2,0.0509117,29
349,7.2,0.0509117,29
350,7.2,0.0509117,29
351,7.2,0.0509117,29
352,7.2,0.0509117,29
353,7.2,0.0509117,29
354,7.2,0.0509117,29
355,7.2,0.0509117,29
356,7.2,0.0509117,29
357,7.2,0.0509117,29
358,7.2,0.0509117,29
359,7.2,0.0509117,29
360,7.2,0.0509117,29
361,7.2,0.0509117,29
362,7.2,0.0509117,29
363,7.2,0.0509117,29
364,7.2,0.0509117,29
365,7.2,0.0509117,29
366,7.2,0.0509117,29
367,7.2,0.0509117,29
368,7.2,0.0509117,29
369,7.2,0.0509117,29
370,7.2,0.0509117,29
371,7.2,0.0509117,29
372,7.2,0.0509117,29
373,7.2,0.0509117,29
374,7.2,0.0509117,30
375,8.3,0.0586899,27
376,9.9,0.0700036,24
377,9.6,0.0678823,24
378,8,0.0565685,29
379,7.2,0.0509117,30
380,7.2,0.0509117,29
381,7.2,0.0509117,29
382,7.2,0.0509117,29
383,7.2,0.0509117,29
384,7.2,0.0509117,29
385,7.2,0.0509117,29
386,7.2,0.0509117,29
387,7.2,0.0509117,29
388,7.2,0.0509117,29
389,7.2,0.0509117,29
390,7.2,0.0509117,29
391,7.2,0.0509117,29
392,7.2,0.0509117,29
393,7.2,0.0509117,29
394,7.2,0.0509117,29
395,7.2,0.0509117,29
396,7.2,0.0509117,29
397,7.2,0.0509117,29
398,7.2,0.0509117,29
399,7.2,0.0509117,29
